NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-08-25;2020-08-31;No;203.075;1.04495;96.6442;7352;1330.6066;101223;7.4228;450;64;40
CATALUNYA;CATALUNYA;2020-08-25;2020-08-31;--;;;0.0000;128;0.0000;1033;5.3360;27;1;0
CATALUNYA;CATALUNYA;2020-08-25;2020-08-31;Si;;;263.2393;170;7102.8182;4587;4.3456;34;0;24
CATALUNYA;CATALUNYA;2020-08-24;2020-08-30;Si;;;258.5939;167;7209.6624;4656;4.1483;32;0;31
CATALUNYA;CATALUNYA;2020-08-24;2020-08-30;No;204.737;1.05815;98.9446;7527;1350.9950;102774;7.3281;450;66;40
CATALUNYA;CATALUNYA;2020-08-24;2020-08-30;--;;;0.0000;140;0.0000;1175;5.7242;28;2;0
CATALUNYA;CATALUNYA;2020-08-23;2020-08-29;--;;;0.0000;142;0.0000;1172;5.9130;32;2;0
CATALUNYA;CATALUNYA;2020-08-23;2020-08-29;Si;;;269.4332;174;7246.8256;4680;4.7004;32;1;30
CATALUNYA;CATALUNYA;2020-08-23;2020-08-29;No;206.447;1.0715;98.3531;7482;1354.3602;103030;7.2826;444;67;42
CATALUNYA;CATALUNYA;2020-08-22;2020-08-28;No;211.586;1.10239;98.2216;7472;1370.9232;104290;7.1744;443;64;43
CATALUNYA;CATALUNYA;2020-08-22;2020-08-28;--;;;0.0000;143;0.0000;1160;5.8979;33;3;0
CATALUNYA;CATALUNYA;2020-08-22;2020-08-28;Si;;;291.1117;188;7451.2232;4812;4.5887;32;1;32
CATALUNYA;CATALUNYA;2020-08-21;2020-08-27;Si;;;301.9510;195;7465.1594;4821;4.4418;31;1;32
CATALUNYA;CATALUNYA;2020-08-21;2020-08-27;No;215.794;1.13167;99.2864;7553;1350.7452;102755;7.4012;462;70;36
CATALUNYA;CATALUNYA;2020-08-21;2020-08-27;--;;;0.0000;144;0.0000;1086;6.3089;35;4;0
CATALUNYA;CATALUNYA;2020-08-20;2020-08-26;--;;;0.0000;139;0.0000;1068;6.6155;31;5;0
CATALUNYA;CATALUNYA;2020-08-20;2020-08-26;Si;;;300.4026;194;6992.8770;4516;4.6553;30;1;33
CATALUNYA;CATALUNYA;2020-08-20;2020-08-26;No;217.052;1.15008;99.4704;7567;1297.5067;98705;7.7291;440;66;36
CATALUNYA;CATALUNYA;2020-08-19;2020-08-25;No;214.447;1.15979;98.6291;7503;1230.5051;93608;7.9613;463;70;40
CATALUNYA;CATALUNYA;2020-08-19;2020-08-25;--;;;0.0000;130;0.0000;1038;5.9172;28;6;0
CATALUNYA;CATALUNYA;2020-08-19;2020-08-25;Si;;;218.3338;141;6534.5308;4220;3.6833;27;2;31
CATALUNYA;CATALUNYA;2020-08-18;2020-08-24;No;212.149;1.16601;97.6958;7432;1190.1885;90541;8.1854;480;77;43
CATALUNYA;CATALUNYA;2020-08-18;2020-08-24;--;;;0.0000;122;0.0000;1024;5.3000;27;7;0
CATALUNYA;CATALUNYA;2020-08-18;2020-08-24;Si;;;190.4614;123;6424.5896;4149;3.2481;29;3;31
CATALUNYA;CATALUNYA;2020-08-17;2020-08-23;--;;;0.0000;116;0.0000;1003;5.7986;25;6;0
CATALUNYA;CATALUNYA;2020-08-17;2020-08-23;Si;;;178.0737;115;6056.0545;3911;3.2752;33;3;27
CATALUNYA;CATALUNYA;2020-08-17;2020-08-23;No;207.488;1.16566;94.5409;7192;1131.3501;86065;8.4501;479;81;41
CATALUNYA;CATALUNYA;2020-08-16;2020-08-22;No;206.188;1.16463;94.3175;7175;1127.4460;85768;8.4435;493;78;38
CATALUNYA;CATALUNYA;2020-08-16;2020-08-22;--;;;0.0000;111;0.0000;999;5.8282;25;5;0
CATALUNYA;CATALUNYA;2020-08-16;2020-08-22;Si;;;174.9767;113;6083.9269;3929;2.6870;33;2;24
CATALUNYA;CATALUNYA;2020-08-15;2020-08-21;No;202.766;1.14838;93.7128;7129;1105.6117;84107;8.6592;508;78;39
CATALUNYA;CATALUNYA;2020-08-15;2020-08-21;--;;;0.0000;109;0.0000;988;5.5785;25;4;0
CATALUNYA;CATALUNYA;2020-08-15;2020-08-21;Si;;;157.9436;102;5840.8175;3772;2.8590;33;2;22
CATALUNYA;CATALUNYA;2020-08-14;2020-08-20;--;;;0.0000;109;0.0000;1074;6.0172;26;3;0
CATALUNYA;CATALUNYA;2020-08-14;2020-08-20;Si;;;122.3288;79;5332.9204;3444;3.0303;33;2;26
CATALUNYA;CATALUNYA;2020-08-14;2020-08-20;No;194.635;1.12357;91.3992;6953;1067.9109;81239;8.7381;500;69;45
CATALUNYA;CATALUNYA;2020-08-13;2020-08-19;--;;;0.0000;126;0.0000;1083;6.9943;27;3;0
CATALUNYA;CATALUNYA;2020-08-13;2020-08-19;Si;;;113.0380;73;5715.3917;3691;2.5524;39;3;24
CATALUNYA;CATALUNYA;2020-08-13;2020-08-19;No;187.65;1.10823;89.2565;6790;1066.3204;81118;8.4481;497;69;43
CATALUNYA;CATALUNYA;2020-08-12;2020-08-18;No;182.627;1.09965;86.2726;6563;1056.7243;80388;8.3189;476;65;38
CATALUNYA;CATALUNYA;2020-08-12;2020-08-18;--;;;0.0000;130;0.0000;1038;7.8373;26;3;0
CATALUNYA;CATALUNYA;2020-08-12;2020-08-18;Si;;;151.7497;98;6011.1489;3882;3.3137;43;2;25
CATALUNYA;CATALUNYA;2020-08-11;2020-08-17;--;;;0.0000;132;0.0000;1019;8.7702;25;2;0
CATALUNYA;CATALUNYA;2020-08-11;2020-08-17;Si;;;204.3976;132;5845.4629;3775;4.3329;45;1;27
CATALUNYA;CATALUNYA;2020-08-11;2020-08-17;No;179.154;1.0945;84.2482;6409;1039.6354;79088;8.2035;465;62;37
CATALUNYA;CATALUNYA;2020-08-10;2020-08-16;--;;;0.0000;131;0.0000;1046;8.5462;23;2;0
CATALUNYA;CATALUNYA;2020-08-10;2020-08-16;Si;;;230.7215;149;5799.0089;3745;4.7289;43;1;25
CATALUNYA;CATALUNYA;2020-08-10;2020-08-16;No;177.135;1.09305;83.4595;6349;1048.5216;79764;8.0791;455;58;43
CATALUNYA;CATALUNYA;2020-08-09;2020-08-15;No;175.513;1.09262;82.7233;6293;1044.9329;79491;8.0759;460;62;41
CATALUNYA;CATALUNYA;2020-08-09;2020-08-15;--;;;0.0000;130;0.0000;1043;8.5630;20;3;0
CATALUNYA;CATALUNYA;2020-08-09;2020-08-15;Si;;;226.0761;146;5689.0678;3674;4.7588;44;2;29
CATALUNYA;CATALUNYA;2020-08-08;2020-08-14;Si;;;226.0761;146;5938.3710;3835;4.6904;44;3;29
CATALUNYA;CATALUNYA;2020-08-08;2020-08-14;No;175.21;1.09485;82.8548;6303;1076.7709;81913;7.7940;460;62;37
CATALUNYA;CATALUNYA;2020-08-08;2020-08-14;--;;;0.0000;129;0.0000;1055;8.6745;19;3;0
CATALUNYA;CATALUNYA;2020-08-07;2020-08-13;--;;;0.0000;122;0.0000;954;8.9056;16;3;0
CATALUNYA;CATALUNYA;2020-08-07;2020-08-13;Si;;;315.8872;204;6011.1489;3882;5.9611;47;3;23
CATALUNYA;CATALUNYA;2020-08-07;2020-08-13;No;173.126;1.08352;81.8294;6225;1076.0216;81856;7.6720;457;68;35
CATALUNYA;CATALUNYA;2020-08-06;2020-08-12;No;169.952;1.06655;80.0680;6091;1070.8818;81465;7.6470;469;77;37
CATALUNYA;CATALUNYA;2020-08-06;2020-08-12;--;;;0.0000;121;0.0000;1006;7.8491;17;3;0
CATALUNYA;CATALUNYA;2020-08-06;2020-08-12;Si;;;353.0504;228;5939.9194;3836;6.7240;43;2;23
CATALUNYA;CATALUNYA;2020-08-05;2020-08-11;Si;;;326.7265;211;5955.4041;3846;6.0615;42;3;23
CATALUNYA;CATALUNYA;2020-08-05;2020-08-11;No;168.096;1.05118;79.8051;6071;1057.2238;80426;7.7413;474;79;35
CATALUNYA;CATALUNYA;2020-08-05;2020-08-11;--;;;0.0000;114;0.0000;1103;6.8646;18;3;0
CATALUNYA;CATALUNYA;2020-08-04;2020-08-10;--;;;0.0000;121;0.0000;1167;6.5026;23;5;0
CATALUNYA;CATALUNYA;2020-08-04;2020-08-10;Si;;;297.3056;192;5984.8250;3865;5.6895;37;3;23
CATALUNYA;CATALUNYA;2020-08-04;2020-08-10;No;166.516;1.03441;79.4370;6043;1057.1055;80417;7.8060;460;80;36
CATALUNYA;CATALUNYA;2020-08-03;2020-08-09;No;164.847;1.01888;78.5957;5979;1029.3295;78304;7.8557;465;75;27
CATALUNYA;CATALUNYA;2020-08-03;2020-08-09;--;;;0.0000;128;0.0000;1155;6.3055;26;25;0
CATALUNYA;CATALUNYA;2020-08-03;2020-08-09;Si;;;283.3694;183;6083.9269;3929;5.5185;40;3;26
CATALUNYA;CATALUNYA;2020-08-02;2020-08-08;No;162.224;1.00512;77.9121;5927;1023.7164;77877;7.8624;456;73;27
CATALUNYA;CATALUNYA;2020-08-02;2020-08-08;--;;;0.0000;131;0.0000;1159;6.2002;39;26;0
CATALUNYA;CATALUNYA;2020-08-02;2020-08-08;Si;;;286.4663;185;6292.9699;4064;5.4236;41;2;25
CATALUNYA;CATALUNYA;2020-08-01;2020-08-07;--;;;0.0000;132;0.0000;1159;6.2776;49;28;0
CATALUNYA;CATALUNYA;2020-08-01;2020-08-07;Si;;;289.5633;187;6455.5589;4169;5.2662;46;1;26
CATALUNYA;CATALUNYA;2020-08-01;2020-08-07;No;160.356;0.997446;77.1760;5871;995.2174;75709;8.1080;451;75;32
CATALUNYA;CATALUNYA;2020-07-31;2020-08-06;No;163.773;1.0197;77.9516;5930;989.4335;75269;8.2937;460;81;34
CATALUNYA;CATALUNYA;2020-07-31;2020-08-06;--;;;0.0000;130;0.0000;1167;6.3213;65;30;0
CATALUNYA;CATALUNYA;2020-07-31;2020-08-06;Si;;;213.6884;138;6579.4363;4249;3.8688;47;1;28
CATALUNYA;CATALUNYA;2020-07-30;2020-08-05;No;168.376;1.03497;79.2793;6031;982.5585;74746;8.4489;450;75;38
CATALUNYA;CATALUNYA;2020-07-30;2020-08-05;--;;;0.0000;115;0.0000;1161;5.9083;72;29;0
CATALUNYA;CATALUNYA;2020-07-30;2020-08-05;Si;;;202.8491;131;6444.7197;4162;4.1572;51;1;29
CATALUNYA;CATALUNYA;2020-07-29;2020-08-04;--;;;0.0000;133;0.0000;1168;6.9869;75;29;0
CATALUNYA;CATALUNYA;2020-07-29;2020-08-04;Si;;;269.4332;174;6406.0080;4137;5.3500;57;0;28
CATALUNYA;CATALUNYA;2020-07-29;2020-08-04;No;171.563;1.04821;80.1074;6094;1012.1223;76995;8.3360;453;75;41
CATALUNYA;CATALUNYA;2020-07-28;2020-08-03;--;;;0.0000;132;0.0000;1104;7.2022;74;27;0
CATALUNYA;CATALUNYA;2020-07-28;2020-08-03;Si;;;301.9510;195;6339.4239;4094;5.6834;60;0;27
CATALUNYA;CATALUNYA;2020-07-28;2020-08-03;No;174.812;1.05594;81.5402;6203;1000.9093;76142;8.5034;465;78;40
CATALUNYA;CATALUNYA;2020-07-27;2020-08-02;No;177.128;1.06225;83.1966;6329;999.1216;76006;8.5011;469;86;45
CATALUNYA;CATALUNYA;2020-07-27;2020-08-02;--;;;0.0000;116;0.0000;1079;6.9129;85;7;0
CATALUNYA;CATALUNYA;2020-07-27;2020-08-02;Si;;;298.8541;193;6077.7330;3925;5.6879;60;0;27
CATALUNYA;CATALUNYA;2020-07-26;2020-08-01;--;;;0.0000;114;0.0000;1082;6.9877;84;5;0
CATALUNYA;CATALUNYA;2020-07-26;2020-08-01;Si;;;298.8541;193;6087.0238;3931;5.7331;56;0;28
CATALUNYA;CATALUNYA;2020-07-26;2020-08-01;No;177.151;1.05972;83.4857;6351;1010.3345;76859;8.5396;515;95;47
CATALUNYA;CATALUNYA;2020-07-25;2020-07-31;--;;;0.0000;117;0.0000;1100;6.8646;76;4;0
CATALUNYA;CATALUNYA;2020-07-25;2020-07-31;Si;;;306.5964;198;5987.9219;3867;5.8220;60;0;28
CATALUNYA;CATALUNYA;2020-07-25;2020-07-31;No;177.494;1.05628;83.5909;6359;1008.8228;76744;8.4754;510;97;49
CATALUNYA;CATALUNYA;2020-07-24;2020-07-30;No;175.907;1.06179;82.6576;6288;1009.1909;76772;8.2811;549;100;46
CATALUNYA;CATALUNYA;2020-07-24;2020-07-30;--;;;0.0000;126;0.0000;1075;7.5758;74;2;0
CATALUNYA;CATALUNYA;2020-07-24;2020-07-30;Si;;;315.8872;204;5873.3353;3793;6.0994;70;0;27
CATALUNYA;CATALUNYA;2020-07-23;2020-07-29;Si;;;280.2725;181;5933.7256;3832;5.1182;78;0;25
CATALUNYA;CATALUNYA;2020-07-23;2020-07-29;No;178.004;1.08478;83.4069;6345;1018.0114;77443;8.1701;581;106;38
CATALUNYA;CATALUNYA;2020-07-23;2020-07-29;--;;;0.0000;149;0.0000;1057;8.4697;76;2;0
CATALUNYA;CATALUNYA;2020-07-22;2020-07-28;--;;;0.0000;142;0.0000;1032;8.3004;76;1;0
CATALUNYA;CATALUNYA;2020-07-22;2020-07-28;Si;;;221.4307;143;6045.2152;3904;3.8218;67;0;24
CATALUNYA;CATALUNYA;2020-07-22;2020-07-28;No;179.533;1.11408;83.5646;6357;985.6608;74982;8.3824;598;138;37
CATALUNYA;CATALUNYA;2020-07-21;2020-07-27;No;179.828;1.15326;84.0116;6391;972.8573;74008;8.5291;617;153;39
CATALUNYA;CATALUNYA;2020-07-21;2020-07-27;--;;;0.0000;144;0.0000;1001;8.7576;82;1;0
CATALUNYA;CATALUNYA;2020-07-21;2020-07-27;Si;;;157.9436;102;5925.9832;3827;2.8457;66;0;21
CATALUNYA;CATALUNYA;2020-07-20;2020-07-26;Si;;;178.0737;115;6087.0238;3931;3.2782;61;2;19
CATALUNYA;CATALUNYA;2020-07-20;2020-07-26;No;179.169;1.1955;83.5515;6356;959.1993;72969;8.6316;640;155;39
CATALUNYA;CATALUNYA;2020-07-20;2020-07-26;--;;;0.0000;165;0.0000;984;9.2879;71;2;0
CATALUNYA;CATALUNYA;2020-07-19;2020-07-25;--;;;0.0000;168;0.0000;975;9.1571;62;2;0
CATALUNYA;CATALUNYA;2020-07-19;2020-07-25;Si;;;192.0099;124;6195.4165;4001;3.4251;72;2;13
CATALUNYA;CATALUNYA;2020-07-19;2020-07-25;No;185.36;1.25041;83.6829;6366;942.5836;71705;8.6945;603;151;39
CATALUNYA;CATALUNYA;2020-07-18;2020-07-24;No;195.857;1.34398;84.4454;6424;931.5285;70864;8.9120;594;142;32
CATALUNYA;CATALUNYA;2020-07-18;2020-07-24;--;;;0.0000;202;0.0000;999;11.6751;65;3;0
CATALUNYA;CATALUNYA;2020-07-18;2020-07-24;Si;;;230.7215;149;6206.2558;4008;4.6450;65;2;11
CATALUNYA;CATALUNYA;2020-07-17;2020-07-23;No;203.254;1.45924;83.0125;6315;887.6232;67524;9.2204;540;137;31
CATALUNYA;CATALUNYA;2020-07-17;2020-07-23;--;;;0.0000;216;0.0000;1064;12.2857;55;4;0
CATALUNYA;CATALUNYA;2020-07-17;2020-07-23;Si;;;221.4307;143;6130.3809;3959;4.7323;52;2;9
